"","waldStat","df","pvalue","logFC1_2","logFC1_3","logFC1_4","logFC1_5","logFC2_3","logFC2_4","logFC2_5","logFC3_4","logFC3_5","logFC4_5","feature_id"
"Cst3",1222.04514384566,4,0,2.1544258342083,1.0975908390784,2.06284476270889,-1.63830578464551,-1.05683499512991,-0.0915810714994171,-3.79273161885381,0.965253923630489,-2.7358966237239,-3.70115054735439,"Cst3"
"Car2",1056.01407565233,4,0,-2.56167082321236,0.644234606611302,-2.42235151601118,2.97761403933586,3.20590542982366,0.139319307201182,5.53928486254822,-3.06658612262248,2.33337943272456,5.39996555534704,"Car2"
"Psap",753.68744441448,4,0,1.33089386420665,1.0738103504043,1.56325076964976,-2.29510083186645,-0.257083513802347,0.23235690544311,-3.62599469607309,0.489440419245457,-3.36891118227074,-3.8583516015162,"Psap"
"Coro1a",744.186552536784,4,0,2.81941513665162,0.114535227193442,2.7975740990281,-1.00641303802608,-2.70487990945817,-0.0218410376235159,-3.8258281746777,2.68303887183466,-1.12094826521952,-3.80398713705418,"Coro1a"
"Ncl",702.26431715361,4,0,-1.99418352636424,-0.866028313864413,-1.95920359598676,-0.0671168323344459,1.12815521249982,0.0349799303774778,1.92706669402979,-1.09317528212235,0.798911481529967,1.89208676365231,"Ncl"
"Cd52",679.441078119145,4,0,3.36205669650197,3.71408092128079,3.85097953988124,-0.916650435315629,0.352024224778825,0.488922843379272,-4.2787071318176,0.136898618600448,-4.63073135659642,-4.76762997519687,"Cd52"
"Vim",631.268718894345,4,0,3.36109766637596,3.10936811900943,2.87671407130091,-1.42011872203122,-0.25172954736653,-0.484383595075052,-4.78121638840717,-0.232654047708522,-4.52948684104064,-4.29683279333212,"Vim"
"Nrgn",587.018859931013,4,0,2.25019522436605,-2.16565177725755,2.30682913866524,3.52843270056753,-4.4158470016236,0.0566339142991976,1.27823747620149,4.47248091592279,5.69408447782508,1.22160356190229,"Nrgn"
"Crip1",573.769465677547,4,0,1.89363538667158,0.0751294740506199,1.65085288334466,-1.4427476016428,-1.81850591262096,-0.242782503326918,-3.33638298831438,1.57572340929404,-1.51787707569342,-3.09360048498746,"Crip1"
"H2-Ab1",565.880179620476,4,0,4.4641069844536,3.56981847080202,4.81527535308122,-1.13516817464039,-0.894288513651585,0.351168368627616,-5.59927515909399,1.2454568822792,-4.70498664544241,-5.95044352772161,"H2-Ab1"
"Pf4",550.516534761223,4,0,-2.29975334878538,-9.08931864140076,-1.60810743337881,0.204149509426013,-6.78956529261538,0.691645915406567,2.50390285821139,7.48121120802195,9.29346815082677,1.81225694280482,"Pf4"
"Car1",535.396857818671,4,0,-2.80450318535853,2.61249216356028,-2.72906045928389,2.49824790412221,5.4169953489188,0.075442726074638,5.30275108948074,-5.34155262284417,-0.114244259438065,5.2273083634061,"Car1"
"Csda",495.756299386923,4,0,-2.38340938672883,-2.27084121228554,-2.33717789983668,-0.390556336430095,0.112568174443289,0.0462314868921504,1.99285305029873,-0.0663366875511381,1.88028487585544,1.94662156340658,"Csda"
"Tmsb4x",475.737352470219,4,0,3.93214842947038,4.31041865309976,3.1365431025329,-2.92989056308022,0.378270223629383,-0.795605326937479,-6.8620389925506,-1.17387555056686,-7.24030921617998,-6.06643366561312,"Tmsb4x"
"Gm2a",465.106975971343,4,0,1.86200611160304,1.9079336506839,2.15011570045774,-2.16411702427735,0.0459275390808593,0.2881095888547,-4.02612313588039,0.242182049773841,-4.07205067496125,-4.31423272473509,"Gm2a"
"Atpif1",448.280829379104,4,0,-2.14019923611385,-2.16435866288295,-2.18194240840014,-0.815931249926233,-0.0241594267690974,-0.0417431722862877,1.32426798618761,-0.0175837455171903,1.34842741295671,1.3660111584739,"Atpif1"
"Anxa2",446.401580334431,4,0,3.61085586762397,2.97245067860289,4.05778020668309,-0.79988566779204,-0.638405189021084,0.446924339059118,-4.41074153541601,1.0853295280802,-3.77233634639493,-4.85766587447513,"Anxa2"
"Cnn2",433.548270132249,4,0,3.46667956853325,-0.416955763596055,3.74900325688671,-0.502468700237798,-3.8836353321293,0.28232368835346,-3.96914826877104,4.16595902048276,-0.0855129366417433,-4.2514719571245,"Cnn2"
"Mthfd1",430.842737852046,4,0,-3.9381402378979,-2.53567488046758,-3.86131373960367,-0.186297934668874,1.40246535743032,0.0768264982942246,3.75184230322902,-1.32563885913609,2.3493769457987,3.6750158049348,"Mthfd1"
"Fam132a",425.972720427565,4,0,-3.62168661191496,-0.717113651219452,-3.65497786186671,1.12652986260497,2.9045729606955,-0.0332912499517561,4.74821647451993,-2.93786421064726,1.84364351382442,4.78150772447168,"Fam132a"
"Cd74",417.609309839796,4,0,7.89670109761491,6.4517447677872,7.01634857055756,-0.504346516057335,-1.44495632982771,-0.880352527057352,-8.40104761367225,0.564603802770357,-6.95609128384454,-7.5206950866149,"Cd74"
"Hdgf",415.926174829917,4,0,-2.87603335858291,-2.08737909088626,-2.88106967387004,-0.718846688622658,0.788654267696649,-0.00503631528713421,2.15718666996025,-0.793690582983783,1.3685324022636,2.16222298524738,"Hdgf"
"Tmsb10",415.356302023919,4,0,2.56229808084496,0.143666918377786,2.62694170602509,-1.02241327915856,-2.41863116246718,0.0646436251801301,-3.58471136000352,2.48327478764731,-1.16608019753634,-3.64935498518365,"Tmsb10"
"Gpr56",403.650592503719,4,0,-2.52175876433982,-4.90125835918033,-2.24615427055507,-1.71413633664441,-2.37949959484051,0.275604493784744,0.807622427695403,2.65510408862525,3.18712202253591,0.53201793391066,"Gpr56"
"Lcp1",397.554491501605,4,0,3.71637274548396,3.76819928319472,3.86108141885947,-0.309723207475118,0.0518265377107632,0.144708673375512,-4.02609595295908,0.0928821356647485,-4.07792249066984,-4.17080462633459,"Lcp1"
"Prdx2",395.124671649352,4,0,-2.69598347936273,-1.48634231963522,-2.36834897230922,-0.668130052488768,1.20964115972751,0.327634507053504,2.02785342687396,-0.882006652674006,0.818212267146451,1.70021891982046,"Prdx2"
"Irf8",392.417044055713,4,0,1.37842898977868,1.29382136905666,0.835179010981426,-3.70211500248985,-0.0846076207220184,-0.543249978797255,-5.08054399226853,-0.458642358075236,-4.99593637154651,-4.53729401347128,"Irf8"
"Fth1",379.59762136,4,0,-1.86401805731603,-1.32003593710301,-1.91287665579366,-0.479004166399238,0.543982120213016,-0.0488585984776349,1.38501389091679,-0.592840718690651,0.841031770703775,1.43387248939443,"Fth1"
"Ahctf1",375.738482707867,4,0,-1.9830866046271,-0.831779658821242,-2.22181031245213,0.1962546434106,1.15130694580585,-0.238723707825035,2.17934124803769,-1.39003065363089,1.02803430223184,2.41806495586273,"Ahctf1"
"Serpina3f;Serpina3g",358.865615775477,4,0,3.26917511297337,-2.14350533957008,3.05438325675299,1.28549254113997,-5.41268045254345,-0.214791856220373,-1.9836825718334,5.19788859632308,3.42899788071005,-1.76889071561302,"Serpina3f;Serpina3g"
"H2-DMa",353.696598301105,4,0,0.657343348603037,-0.959137304736289,1.28641249050615,-2.20736710966649,-1.61648065333933,0.62906914190311,-2.86471045826952,2.24554979524244,-1.2482298049302,-3.49377960017263,"H2-DMa"
"Pkm2",350.79327624337,4,0,1.56369944994214,-1.49564854503549,1.66298006595305,0.299081697769128,-3.05934799497763,0.099280616010907,-1.26461775217301,3.15862861098854,1.79473024280462,-1.36389836818392,"Pkm2"
"Blvrb",350.013969128373,4,0,-2.31885397475301,0.056756420662659,-2.35992598734254,1.92457546805412,2.37561039541567,-0.0410720125895213,4.24342944280714,-2.4166824080052,1.86781904739146,4.28450145539666,"Blvrb"
"Tyrobp",344.052219998114,4,0,1.99712050198704,2.66752743361667,2.67835720444125,-0.678374545537256,0.670406931629628,0.681236702454211,-2.6754950475243,0.0108297708245834,-3.34590197915393,-3.35673174997851,"Tyrobp"
"Phb2",342.835718699396,4,0,-2.02536996353972,-1.79336012161442,-1.8681531647051,-0.0593195710631132,0.232009841925298,0.157216798834619,1.96605039247661,-0.0747930430906789,1.73404055055131,1.80883359364199,"Phb2"
"Cpox",340.080998481978,4,0,-2.87329636969591,-0.0198952865550245,-2.7127675419957,0.505141186805115,2.85340108314089,0.160528827700217,3.37843755650103,-2.69287225544067,0.52503647336014,3.21790872880081,"Cpox"
"Ddx21",332.017622488251,4,0,-2.19913097877262,-0.981358318613725,-2.1593296559978,-0.319034684298614,1.2177726601589,0.0398013227748248,1.88009629447401,-1.17797133738407,0.662323634315111,1.84029497169918,"Ddx21"
"Mt2",330.372372217113,4,0,-3.00996037641687,2.05090104247537,-3.14896784735753,1.6813038660515,5.06086141889224,-0.139007470940653,4.69126424246837,-5.1998688898329,-0.369597176423873,4.83027171340902,"Mt2"
"Lgals1",329.169886940605,4,0,1.0265628738915,2.18411846945926,1.00383343757327,-1.31595653063336,1.15755559556775,-0.022729436318238,-2.34251940452486,-1.18028503188599,-3.50007500009262,-2.31978996820662,"Lgals1"
"Lgals9",327.922661256879,4,0,-3.47334821779673,-1.44750621630623,-3.50749572862213,-1.285155092058,2.0258420014905,-0.0341475108254001,2.18819312573873,-2.0599895123159,0.162351124248229,2.22234063656413,"Lgals9"
"Hsp90aa1",327.588288019216,4,0,-2.44416345395241,0.0055256272480475,-2.22657161249917,0.12381099322515,2.44968908120046,0.217591841453243,2.56797444717756,-2.23209723974721,0.118285365977102,2.35038260572432,"Hsp90aa1"
"Mns1",327.52800260934,4,0,-3.44886316850704,-0.657918584659592,-3.32345031273899,0.257084204916654,2.79094458384745,0.125412855768052,3.7059473734237,-2.6655317280794,0.915002789576245,3.58053451765564,"Mns1"
"H2-Aa",323.413281156029,4,0,7.09848742089511,5.53211362674846,7.0725938324912,-0.908271677691839,-1.56637379414666,-0.0258935884039097,-8.00675909858695,1.54048020574275,-6.4403853044403,-7.98086551018304,"H2-Aa"
"C1qbp",322.987466643911,4,0,-3.31767117561802,-2.80837709910028,-3.09946321991946,-1.23034958004679,0.50929407651774,0.218207955698561,2.08732159557123,-0.291086120819179,1.57802751905349,1.86911363987267,"C1qbp"
"Mt1",316.782294393523,4,0,-3.23331095485807,-1.5235311850346,-3.26693423724724,0.407168993074965,1.70977976982348,-0.0336232823891716,3.64047994793304,-1.74340305221265,1.93070017810956,3.67410323032221,"Mt1"
"Nolc1",312.897005237914,4,0,-2.18015881998073,-1.24766607937541,-2.14659091739805,0.243391882220682,0.932492740605322,0.0335679025826753,2.42355070220141,-0.898924838022647,1.49105796159609,2.38998279961873,"Nolc1"
"Dut;Dutp",308.851730392352,4,0,-2.5372132224768,-2.01495988338761,-2.29089843287228,-0.188508782603487,0.522253339089183,0.246314789604511,2.34870443987331,-0.275938549484672,1.82645110078413,2.1023896502688,"Dut;Dutp"
"Alad",304.663048335489,4,0,-2.88333213366161,-1.15332582320695,-2.73440672444405,-0.085211972101414,1.73000631045466,0.148925409217556,2.79812016156019,-1.5810809012371,1.06811385110554,2.64919475234264,"Alad"
"Lsp1",302.577554075523,4,0,5.73433868941886,6.00997194905101,5.49626654797491,-0.699670255906862,0.275633259632152,-0.238072141443948,-6.43400894532572,-0.5137054010761,-6.70964220495788,-6.19593680388178,"Lsp1"
"Glrx5",296.075094240152,4,0,-2.56365619434233,-1.69866646497665,-2.48970940137135,-0.397824550413707,0.864989729365679,0.0739467929709767,2.16583164392862,-0.791042936394703,1.30084191456294,2.09188485095764,"Glrx5"
"Napsa",285.536500827472,4,0,3.4589989030317,1.36942570375945,3.55023863490322,-0.270097529377873,-2.08957319927226,0.0912397318715108,-3.72909643240958,2.18081293114377,-1.63952323313732,-3.82033616428109,"Napsa"
"Gnl3",279.965934645962,4,0,-3.02249300792027,-0.562601241543924,-2.99656915201465,-0.163165912780446,2.45989176637634,0.0259238559056129,2.85932709513982,-2.43396791047073,0.399435328763478,2.83340323923421,"Gnl3"
"Gclm",278.166989742084,4,0,-3.63310523909324,-1.78391386753798,-3.55644700195907,-0.222664665088872,1.84919137155526,0.076658237134174,3.41044057400437,-1.77253313442109,1.56124920244911,3.3337823368702,"Gclm"
"Nop58",275.432228841855,4,0,-2.30023007757756,-1.37563121831865,-2.27515813157779,-0.387835267368527,0.924598859258916,0.0250719459997709,1.91239481020903,-0.899526913259145,0.987795950950119,1.88732286420926,"Nop58"
"Id2",272.98357941512,4,0,7.13469576820404,6.12632835995731,7.02973281029723,-0.0629230203321169,-1.00836740824673,-0.104962957906808,-7.19761878853616,0.903404450339926,-6.18925138028942,-7.09265583062935,"Id2"
"Eprs",259.482598852282,4,0,-1.95163341712658,-0.644781932961803,-1.9246779626234,0.09807534403682,1.30685148416478,0.0269554545031798,2.0497087611634,-1.2798960296616,0.742857276998623,2.02275330666023,"Eprs"
"Tnfaip2",255.25506092996,4,0,-4.10649974717197,-0.854809258822269,-3.8604743166477,0.00582774074604919,3.2516904883497,0.246025430524279,4.11232748791802,-3.00566505782543,0.860636999568318,3.86630205739374,"Tnfaip2"
"Lyz1;Lyz2",254.82343300974,4,0,1.29039775916682,-0.959637750930152,2.05878338238939,-3.24878462527344,-2.25003551009697,0.768385623222575,-4.53918238444026,3.01842113331955,-2.28914687434329,-5.30756800766283,"Lyz1;Lyz2"
"Hspe1",253.583120649537,4,0,-1.67532522843045,-2.18778110053885,-1.56742235529445,0.116331889418907,-0.512455872108396,0.107902873136,1.79165711784936,0.620358745244395,2.30411298995775,1.68375424471336,"Hspe1"
"Klf1",248.731041750347,4,0,-3.12252911999535,1.54267845356742,-3.2397740024117,3.20156541651789,4.66520757356277,-0.117244882416351,6.32409453651324,-4.78245245597912,1.65888696295047,6.44133941892959,"Klf1"
"Eif3a;AK087340",246.816894647326,4,0,-1.85390928080454,0.256556280549382,-1.92320717819198,-0.329917062557993,2.11046556135392,-0.0692978973874331,1.52399221824655,-2.17976345874136,-0.586473343107375,1.59329011563398,"Eif3a;AK087340"
"Aplp2",242.913508084152,4,0,-2.80106613520976,0.346590114077686,-2.66590144536105,-0.180598149129456,3.14765624928745,0.135164689848712,2.62046798608031,-3.01249155943874,-0.527188263207142,2.4853032962316,"Aplp2"
"Metap2",236.01712732653,4,0,-2.74185556829312,-0.790357815249261,-2.5766771398078,-0.611834194479317,1.95149775304386,0.165178428485326,2.13002137381381,-1.78631932455854,0.178523620769943,1.96484294532848,"Metap2"
"Hspd1",234.143426412939,4,0,-2.42937891408275,-2.51867833047903,-2.29933323888375,0.0803704267391967,-0.0892994163962775,0.130045675199003,2.50974934082195,0.21934509159528,2.59904875721823,2.37970366562295,"Hspd1"
"Lyar",232.682820488012,4,0,-2.30718808127219,-1.05023654545688,-2.22251081659023,0.0125856697240176,1.25695153581531,0.0846772646819586,2.31977375099621,-1.17227427113335,1.0628222151809,2.23509648631425,"Lyar"
"Prdx6",229.718060306928,4,0,-1.78595524804755,-1.27029440017263,-1.63423581120673,0.240698753457811,0.515660847874918,0.151719436840815,2.02665400150536,-0.363941411034103,1.51099315363044,1.87493456466454,"Prdx6"
"AK156292;V00821;AI324046;Ighg1;AK135975;Igh;Ighg;J00476;Igh-A (1g2);Gm16844;AK036494;M34473;abParts;M13680;M12570;V00757;M36767;X73024",228.952197884743,4,0,2.64226796343899,2.89240154470112,3.11464009706074,-0.978811663964616,0.250133581262123,0.472372133621745,-3.62107962740361,0.222238552359622,-3.87121320866573,-4.09345176102535,"AK156292;V00821;AI324046;Ighg1;AK135975;Igh;Ighg;J00476;Igh-A (1g2);Gm16844;AK036494;M34473;abParts;M13680;M12570;V00757;M36767;X73024"
"Hspa9",228.878456639698,4,0,-2.25733077935643,-0.148260010332714,-2.29184847042058,-0.305172317410586,2.10907076902372,-0.03451769106415,1.95215846194584,-2.14358846008787,-0.156912307077873,1.98667615300999,"Hspa9"
"Ifrd2",220.972884536375,4,0,-3.70260440700757,-3.00925909284194,-3.5872733483032,-0.237818570120572,0.693345314165627,0.115331058704369,3.464785836887,-0.578014255461258,2.77144052272137,3.34945477818263,"Ifrd2"
"Pdap1",216.686615016234,4,0,-2.2885295813618,-1.10878800521914,-2.20745508200983,-0.3303412668244,1.17974157614265,0.0810744993519627,1.9581883145374,-1.09866707679069,0.778446738394743,1.87711381518544,"Pdap1"
"Hk1",213.676481062395,4,0,-2.54432437378353,-2.3188580975055,-2.79006133221582,0.410179471891904,0.225466276278032,-0.245736958432289,2.95450384567544,-0.471203234710321,2.7290375693974,3.20024080410772,"Hk1"
"Zfpm1",210.392215467452,4,0,-2.10622489688183,-2.41028740057464,-2.12187188899464,2.23012028525624,-0.304062503692813,-0.0156469921128139,4.33634518213807,0.288415511579999,4.64040768583088,4.35199217425088,"Zfpm1"
"Ttll12",209.952118106096,4,0,-3.44328168312281,-1.97588316918726,-3.30605593986053,-0.659283849798125,1.46739851393554,0.137225743262278,2.78399783332468,-1.33017277067326,1.31659931938914,2.6467720900624,"Ttll12"
"Cct2",208.414400447266,4,0,-1.63098316872516,-0.0570760322861836,-1.60777743926062,-0.235300502344918,1.57390713643898,0.023205729464545,1.39568266638024,-1.55070140697443,-0.178224470058734,1.3724769369157,"Cct2"
"Urod",204.079434914088,4,0,-1.73029101149935,-0.734049183735324,-1.66526428266565,0.856570022961932,0.996241827764022,0.065026728833692,2.58686103446128,-0.93121509893033,1.59061920669726,2.52183430562759,"Urod"
"Pnp",203.495053924835,4,0,-2.50155141177982,-0.00933322690198413,-2.32337002924561,-1.19377859781039,2.49221818487783,0.178181382534209,1.30777281396943,-2.31403680234362,-1.1844453709084,1.12959143143522,"Pnp"
"Pabpc1;Pabpc2",203.379532248091,4,0,-1.48818235333801,0.499105210772364,-1.28672801516036,-0.382107027501295,1.98728756411037,0.201454338177647,1.10607532583671,-1.78583322593273,-0.881212238273659,0.904620987659067,"Pabpc1;Pabpc2"
"Cct6a",202.387309382719,4,0,-1.94102639500662,-1.34367158575658,-1.94141008122986,-0.615154905072955,0.597354809250041,-0.000383686223240323,1.32587148993366,-0.597738495473281,0.728516680683621,1.3262551761569,"Cct6a"
"Eif4g1",201.675707276462,4,0,-2.05226385242939,-1.4381031451776,-2.13087691493266,-0.302308805451525,0.614160707251791,-0.0786130625032753,1.74995504697786,-0.692773769755066,1.13579433972607,1.82856810948114,"Eif4g1"
"Eif4ebp1",201.351717535337,4,0,-2.40425182565686,-2.33102493923277,-2.38389294991932,-0.321507617220092,0.0732268864240904,0.0203588757375378,2.08274420843677,-0.0528680106865526,2.00951732201267,2.06238533269923,"Eif4ebp1"
"H2-Eb1",200.341316779056,4,0,7.13788069385075,5.20287088303156,10.0567746597208,-0.471305279736329,-1.93500981081919,2.91889396587002,-7.60918597358708,4.85390377668921,-5.67417616276789,-10.5280799394571,"H2-Eb1"
"H2afy",197.54416614158,4,0,-0.453390142144339,-0.935684121472836,-0.4829369981929,-1.79640591130994,-0.482293979328497,-0.0295468560485607,-1.3430157691656,0.452747123279937,-0.860721789837103,-1.31346891311704,"H2afy"
"Lgals3bp",194.200203462703,4,0,-2.22087364520172,-1.72736551916446,-2.35611907530069,0.331814446689599,0.493508126037259,-0.135245430098978,2.55268809189132,-0.628753556136237,2.05917996585406,2.68793352199029,"Lgals3bp"
"Vamp5",193.97095034792,4,0,-2.28457043898512,-2.66179057046194,-2.24342423144551,1.02091177499841,-0.37722013147682,0.0411462075396123,3.30548221398353,0.418366339016432,3.68270234546035,3.26433600644392,"Vamp5"
"Tmem14c",192.285162726428,4,0,-1.45005895380995,-1.12866277961984,-1.47024235694073,0.132037722979415,0.321396174190113,-0.0201834031307795,1.58209667678936,-0.341579577320892,1.26070050259925,1.60228007992014,"Tmem14c"
"Srgn",190.599340343276,4,0,0.80438571462871,-0.70824366660949,0.802154388819318,0.832308905213386,-1.5126293812382,-0.00223132580939107,0.0279231905846765,1.51039805542881,1.54055257182288,0.0301545163940676,"Srgn"
"Nfe2l2",188.523536327017,4,0,-2.22649561322408,-0.500238415697373,-2.36318870126173,-0.198025399657669,1.72625719752671,-0.13669308803765,2.02847021356641,-1.86295028556436,0.302213016039704,2.16516330160406,"Nfe2l2"
"Txnl1",187.93750674166,4,0,-2.11818421292208,-1.63745839684661,-1.96094456156477,-0.0656295900569602,0.480725816075475,0.157239651357316,2.05255462286512,-0.32348616471816,1.57182880678965,1.89531497150781,"Txnl1"
"Cad",185.840367906613,4,0,-2.18821397815314,-2.03756844695992,-2.24243527289888,0.311609129640483,0.15064553119322,-0.0542212947457437,2.49982310779362,-0.204866825938964,2.3491775766004,2.55404440253936,"Cad"
"Ccdc23",185.062932094342,4,0,-1.9122000761579,-0.0360873559201897,-1.86687571675675,0.301982108982219,1.87611272023771,0.0453243594011463,2.21418218514012,-1.83078836083656,0.338069464902409,2.16885782573897,"Ccdc23"
"Stard10",183.80809066601,4,0,-3.28227464149567,-2.46332808438858,-3.20658236363012,0.0671643465559422,0.818946557107086,0.0756922778655489,3.34943898805161,-0.743254279241537,2.53049243094452,3.27374671018606,"Stard10"
"Sfxn1",183.297997467644,4,0,-2.2852142666846,-1.19552031535502,-2.09586124078272,-0.210230117921196,1.08969395132958,0.189353025901886,2.07498414876341,-0.900340925427699,0.985290197433825,1.88563112286152,"Sfxn1"
"Ifitm3",183.09964022759,4,0,-4.13569850017336,-5.55953018841975,-3.65895893079202,-2.62823944806166,-1.42383168824639,0.476739569381334,1.5074590521117,1.90057125762772,2.93129074035809,1.03071948273037,"Ifitm3"
"Malat1",182.337816918981,4,0,2.19344319543212,3.75509233319293,1.85811855461013,0.69652179974704,1.56164913776081,-0.335324640821995,-1.49692139568508,-1.8969737785828,-3.05857053344589,-1.16159675486309,"Malat1"
"Mpo",180.257462040877,4,0,-0.818768212035348,2.82869870978544,-0.651768651819772,-0.608717001365878,3.64746692182079,0.166999560215576,0.210051210669469,-3.48046736160521,-3.43741571115132,0.0430516504538936,"Mpo"
"Etf1",179.921747463863,4,0,-1.52393018959484,-0.252829605563275,-1.45041175772176,0.0769461785593488,1.27110058403157,0.073518431873082,1.60087636815419,-1.19758215215848,0.329775784122624,1.52735793628111,"Etf1"
"Abcb4",177.510441358964,4,0,-3.37266869088189,-0.273363165247777,-3.49300426516402,2.30862503048813,3.09930552563412,-0.120335574282128,5.68129372137002,-3.21964109991624,2.5819881957359,5.80162929565215,"Abcb4"
"Khsrp",177.206454845221,4,0,-1.85743175338104,0.192854623978173,-1.58815731290324,-0.173437161433878,2.05028637735921,0.269274440477799,1.68399459194716,-1.78101193688141,-0.366291785412051,1.41472015146936,"Khsrp"
"Pla2g12a",177.032823906438,4,0,-2.54522987304578,-0.840214892057301,-2.53811345589472,0.826774846702507,1.70501498098848,0.007116417151064,3.37200471974829,-1.69789856383742,1.66698973875981,3.36488830259723,"Pla2g12a"
"Sphk1",174.661577665114,4,0,-5.35164892064321,-0.83046156250829,-5.2867499806068,0.0795138524213453,4.52118735813492,0.0648989400364066,5.43116277306455,-4.45628841809851,0.909975414929636,5.36626383302815,"Sphk1"
"Cct3",170.735658232929,4,0,-1.73158308425923,-1.45710852404202,-1.67149045759809,-0.250430599296221,0.274474560217211,0.060092626661145,1.48115248496301,-0.214381933556066,1.2066779247458,1.42105985830187,"Cct3"
"Cox6b2",170.437297848967,4,0,-4.57695417204165,-2.00251753356402,-4.42958928093209,-1.86136530937519,2.57443663847763,0.147364891109558,2.71558886266646,-2.42707174736807,0.141152224188837,2.56822397155691,"Cox6b2"
"Rsl1d1",168.716459195424,4,0,-2.22654778040275,-0.757323752642093,-1.9936729015677,-0.57847225874296,1.46922402776066,0.23287487883505,1.64807552165979,-1.23634914892561,0.178851493899133,1.41520064282474,"Rsl1d1"
"Phf5a",168.495637007361,4,0,-2.95415621156705,-2.69201156096109,-2.6471850074272,-1.22792614347062,0.262144650605956,0.306971204139853,1.72623006809643,0.0448265535338966,1.46408541749047,1.41925886395658,"Phf5a"
"Chchd10",167.448247466451,4,0,-2.65462374038322,-1.68396192141005,-2.51324009133748,0.342162631597676,0.970661818973175,0.141383649045738,2.9967863719809,-0.829278169927437,2.02612455300772,2.85540272293516,"Chchd10"
"Plbd1",164.024098585588,4,0,6.78217923560122,7.36023218950568,4.0737121386447,-2.9857665282636,0.578052953904451,-2.70846709695652,-9.76794576386483,-3.28652005086098,-10.3459987177693,-7.0594786669083,"Plbd1"
"Ermap",159.174111990781,4,0,-5.5663298433006,0.193101136627194,-5.36688975154618,0.96401379314707,5.75943097992779,0.199440091754413,6.53034363644767,-5.55999088817338,0.770912656519877,6.33090354469326,"Ermap"
"Idh3a",157.06596719728,4,0,-2.13356917984812,-1.38339761074506,-1.95225143493318,-0.27899366626667,0.750171569103052,0.181317744914934,1.85457551358145,-0.568853824188117,1.10440394447839,1.67325776866651,"Idh3a"
"Hist1h1b",152.047553109388,4,0,-1.36054345391379,2.60888421803168,-0.913149708902955,-0.499997038438048,3.96942767194546,0.447393745010833,0.860546415475739,-3.52203392693463,-3.10888125646972,0.413152670464905,"Hist1h1b"
"Eef1a1",150.148179976302,4,0,-0.85778351424252,1.39265151661216,-0.673919538369515,-1.11126487915718,2.25043503085468,0.183863975873006,-0.253481364914659,-2.06657105498167,-2.50391639576933,-0.437345340787664,"Eef1a1"
"Necap2",149.309030639356,4,0,-2.41156692101405,-1.07593715831157,-2.2188813564328,-1.24559657739905,1.33562976270249,0.192685564581249,1.16597034361501,-1.14294419812124,-0.169659419087482,0.973284779033756,"Necap2"
"Hmbs",148.079339894823,4,0,-4.21555205564067,-3.32387703276058,-3.93409897931936,-1.12144007587079,0.891675022880087,0.281453076321308,3.09411197976988,-0.610221946558779,2.20243695688979,2.81265890344857,"Hmbs"
"Arl6ip1",147.83346537571,4,0,-0.814120087392315,0.306501131502903,-0.505591682950397,-1.99116856170955,1.12062121889522,0.308528404441918,-1.17704847431723,-0.8120928144533,-2.29766969321245,-1.48557687875915,"Arl6ip1"
"Rps11",143.778569816567,4,0,-0.677831006128498,0.0684539800554305,-0.808823252621232,-1.68866781829166,0.746284986183928,-0.130992246492732,-1.01083681216316,-0.877277232676662,-1.75712179834709,-0.879844565670432,"Rps11"
"Top2a",143.633957208735,4,0,-1.33222352886814,1.04895211675279,-1.30131729920707,-1.75276764067142,2.38117564562093,0.0309062296610689,-0.420544111803278,-2.35026941595986,-2.80171975742421,-0.451450341464347,"Top2a"
"Hnrnpab",141.657162344989,4,0,-1.77255218715798,-1.10394428447249,-1.81149624111096,-0.51305680586029,0.668607902685487,-0.0389440539529781,1.25949538129769,-0.707551956638465,0.590887478612202,1.29843943525067,"Hnrnpab"
